,Created at,User ID,Text
0,2022-06-27 20:01:23+00:00,1541512036013801474,"We face a climate crisis that is as dire as it is preventable. Our country continues to see dangerous natural disasters, and our leaders refuse to act.
 
There is no future if we do not reverse the effects of climate change, and implement greener practices across industry."
1,2022-06-27 13:16:58+00:00,1541410258299527171,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
2,2022-06-27 13:16:57+00:00,1541410256252817409,"Our democracy is on the line in November, and our House majority runs through Florida’s 13th district. 

With your help, I will defeat Trump-endorsed Anna Paulina Luna."
3,2022-06-26 22:37:42+00:00,1541188983421652992,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
4,2022-06-26 22:37:41+00:00,1541188981328691201,"A person’s health is sacred, and no one should go bankrupt just to get high-quality healthcare.
 
In Congress, I will work to continue to fight for coverage for all."
5,2022-06-26 14:46:13+00:00,1541070332743892992,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
6,2022-06-26 14:46:13+00:00,1541070330487357447,"As a Senior Advisor in the Obama Administration, I learned first hand how the government operates. 
 
I look forward to taking this experience to Congress."
7,2022-06-26 00:06:37+00:00,1540848973187104768,https://t.co/FZqbNjH6P0
8,2022-06-26 00:06:29+00:00,1540848939250991104,One of my favorite events every year is the St. Pete Pride parade and it was wonderful to have it back! I was proud to march as Pinellas’ #FL13 Democratic Nominee who will fight everyday to protect our LGBTQ+ community in Congress! https://t.co/q3e8659ro3
9,2022-06-25 19:59:24+00:00,1540786760485158912,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
10,2022-06-25 19:59:24+00:00,1540786758714986496,"Anna Paulina Luna comes from the far-right faction of the GOP that supports Vladimir Putin and Russia. 
 
She is a threat to our national security and our troops."
11,2022-06-25 14:43:44+00:00,1540707320333836288,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
12,2022-06-25 14:43:44+00:00,1540707318278537219,"We have lived through more mass shootings than days this year. 
 
This is not normal. It cannot be normal. We must ban weapons of war in America."
13,2022-06-25 00:06:08+00:00,1540486463191748608,"The people of Pinellas made it clear that we’re not going to let SCOTUS takeaway a woman’s freedom to choose without a fight. We’re going to keep this energy through November, and make those who oppose the American majority’s view pay at the ballot box!  #VoteforChoice https://t.co/KK0ErSchMc"
14,2022-06-24 16:03:08+00:00,1540364914820354055,"Take action today, take action tomorrow, take action everyday, and especially on November 8th. March today with @wampinellas and let’s show everyone what happens when you defy the American people. https://t.co/IDbwtiPFHi"
15,2022-06-24 15:52:55+00:00,1540362341942009857,"They’re not stopping here, they’re coming for everything. They want to roll back all the progress we’ve made, and attack every marginalized community until they get the world that works for them, not for everyone. We must fight back with an unprecedented response. https://t.co/ziJsjaienf"
16,2022-06-24 14:37:18+00:00,1540343311252307970,"50 years of precedent, 50 years of freedom for Women’s reproductive health GONE. We cannot accept this, we must pass federal law codifying ROE. That’s why I’m running: to protect the views of the majority of Americans in our democracy!
 https://t.co/lyW9Z0ONEc"
17,2022-06-24 13:13:33+00:00,1540322235117871105,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
18,2022-06-24 13:13:32+00:00,1540322232781914112,"Insurrection and Trumpism have no place in the state of Florida or in our Congress. 

I will defeat Anna Paulina Luna and defeat Trumpism in November."
19,2022-06-23 19:56:56+00:00,1540061361618788359,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
20,2022-06-23 19:56:55+00:00,1540061360108847104,"The minimum wage in Florida is $10 per hour. 
 
The average price for a one bedroom apartment in Pinellas County is $1,800. 
 
Minimum wage employees cannot afford to live in our county. We must change this."
21,2022-06-23 19:12:50+00:00,1540050266376048641,"SCOTUS continues their march against the majority of Americans. To protect our children, woman’s choice, and the right to vote we must pass federal laws and turnout to vote in ‘22 to show them what happens when you defy the majority of Americans. https://t.co/vfnGc9kboK"
22,2022-06-23 13:19:24+00:00,1539961318182092800,"My name is Eric Lynn, and I am running in one of the most hotly contested Congressional races in the entire country. If we want to keep our Democratic majority, we must keep Florida's 13th blue. Please help me win this race by chipping in today: https://t.co/LhdUtuHrgR"
